Timespan, 1950-1956
Scenario, fullstop;2015
Used parameters below
f_MP, 0.14
f_shelf, 0.08
f_ocean, 0.92
f_pelagic, 0.92
M_P_discard, 4214.0
M_MP_discard, 686.0000000000001
M_sMP_discard, 576
M_P_SurfOcean, 0.23
M_MP_SurfOcean, 0.036
M_sMP_SurfOcean, 0.0028
M_MPsMP_DeepOcean, 80
M_sMP_atmo, 0.0036
M_sMP_soil, 29
M_MP_beach, 0.52
M_MP_sed, 0.001
M_Incinerated, 800
M_recycled, 750
F_river_tot, 0.72
F_sMP_oce_to_atm, 8.6
F_sMP_atm_to_oce, 7.6
F_sMP_atm_to_soil, 1.15
F_sMP_DiscInuse_to_atm, 0.183
LB19, 0.03
k_SurfOce_P_to_MP, 0.03
k_SurfOce_MP_to_sMP, 0.03
k_beach_P_to_MP, 0.03
k_beach_MP_to_sMP, 0.03
k_DeepOce_MP_to_sMP, 0.03
CF1, 5
k_Disc_P_to_MP, 0.006
k_Disc_MP_to_sMP, 0.006
k_P_surf_to_deep_oce, 0
k_MP_surf_to_deep_oce, 196
k_sMP_surf_to_deep_oce, 32.5
k_P_Disc_to_river, 8.542952064546749e-05
k_MP_Disc_to_river, 0.0005247813411078716
k_sMP_Disc_to_river, 0.0005247813411078716
k_Disc_sMP_to_atm, 0.0003177083333333333
k_SurfOce_P_beach, 0.154
k_SurfOce_MP_beach, 0.154
k_SurfOce_P_CoastSed, 0
k_SurfOce_MP_CoastSed, 196
k_SurfOce_sMP_CoastSed, 32.5
k_sMP_oce_to_atm, 3071.4285714285716
k_sMP_soil_to_atm, 0.0003177083333333333
k_sMP_atm_to_oce, 2111.111111111111
k_sMP_atm_to_soil, 319.4444444444444
k_sMP_soil_to_oce, 0.0005247813411078716
k_P_beached_to_oce, 0
k_MP_beached_to_oce, 0
###############
Data below
,Year,P_prod_tot,P_waste_tot,P_rec_tot,P_inc_tot,P_disc_tot,MP_disc_tot,P_use,P_disc,MP_disc,sMP_disc,P_SurfOce,MP_SurfOce,sMP_SurfOce,MP_DeepOce,sMP_DeepOce,sMP_atm,sMP_soil,P_beach,MP_beach,sMP_beach,MP_sed,sMP_sed
0,1950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1950.1,0.9978927258062393,0.15230412645798733,0.0,0.0,0.13098154875386916,0.021322577704118235,0.8455885993482521,0.13094158557735877,0.02135499606085605,6.421921403704388e-06,5.575875759718229e-07,5.4307777527057944e-08,-6.029368246540313e-07,4.6643141270066366e-07,3.8393155045299506e-09,6.374596183012978e-07,-3.795339250091251e-08,2.868892967967616e-09,4.0050445956097805e-10,3.818376980527652e-13,4.059799948138851e-08,2.9510731906311195e-10
2,1950.2,1.9833683756739113,0.30196197914324874,0.0,0.0,0.259687302063194,0.04227467708005484,1.6814063965306627,0.2595284125635823,0.042403535346536035,2.5563264136283686e-05,2.20335671463801e-06,1.1089587738782157e-07,-2.456128152981167e-06,1.9534972836408634e-06,1.7693513485238212e-08,2.5967471301002672e-06,-1.5393234635434095e-07,2.2725232813999133e-08,1.7025414259607035e-09,3.3048320477291527e-12,1.7020163270932868e-07,1.2062626929409907e-09
3,1950.3,2.9566437652516617,0.4490625157397928,0.0,0.0,0.3861937635362217,0.06286875220357103,2.507581249511871,0.38583839384107016,0.06315687872931727,5.724246467935557e-05,4.897865955869768e-06,1.6685347794754357e-07,-2.1139234550639597e-06,4.449260865084112e-06,2.5371173269418223e-08,2.235113023092528e-06,-1.2886357116886453e-07,7.594583913085997e-08,3.971417528361622e-09,1.1562316715093433e-11,3.8803792276517855e-07,1.0605153525198611e-09
4,1950.4,3.917935710198898,0.5936949571260686,0.0,0.0,0.510577663128419,0.08311729399764972,3.3242407530728295,0.5099496211716725,0.0836263633577442,0.00010128475392869306,8.603053205849803e-06,2.222050640009345e-07,5.8993741090554855e-08,7.939568385776187e-06,3.198886954039549e-08,-6.189938217752993e-08,1.5144706428566735e-08,1.782626274478563e-07,7.318404473217036e-09,2.820990723071735e-11,6.93137388799137e-07,4.1502967522252344e-11
5,1950.5,4.867461026163842,0.7359487874162609,0.0,0.0,0.632915957177984,0.10303283023827658,4.13151223874759,0.6319403651233677,0.10382340271992395,0.0001575222024043041,1.3282212102651105e-05,2.769755320497048e-07,6.890111396897893e-07,1.2410753033801288e-05,5.948152448945976e-08,-7.277018330958604e-07,6.552755950522169e-08,3.447855690928958e-07,1.1901007686457165e-08,5.670688436575496e-11,1.0845692653503468e-06,-2.0104289028129912e-10
6,1950.6,5.8054365288034,0.875913753979897,0.0,0.0,0.7532858284227113,0.1226279255571857,4.929522774823514,0.7518890749783464,0.1237594867037001,0.00022579376549442402,1.8899968812068787e-05,3.3119018689482877e-07,1.9005375662662978e-06,1.784964087983953e-05,9.89338659081352e-08,-2.0082238593112197e-06,1.5769199551015917e-07,5.900252221759022e-07,1.7921004956762995e-08,1.010519348994407e-10,1.5614421452199663e-06,-6.965151549526642e-10
7,1950.7,6.7320790337726555,1.013679867425136,0.0,0.0,0.871764685985617,0.14191518143951898,5.718399166347528,0.8698743786099183,0.143446181651635,0.00030594532872945426,2.5422259245528122e-05,3.848747383036457e-07,-9.32303724439863e-07,2.42435567220179e-05,1.792172909624355e-07,9.870190794563414e-07,-2.112905641169623e-10,9.279148415272629e-07,2.562255776106951e-08,1.6591311770959948e-10,2.122904617061216e-06,8.148623283772235e-10
8,1950.8,7.647605356721801,1.1493374015608342,0.0,0.0,0.9884301653423175,0.16090723621851674,6.498267955160975,0.9859750823412512,0.16289513041291306,0.0003978297530852594,3.28163066923306e-05,4.380552977231256e-07,-1.9694674266515273e-06,3.1580329853720624e-05,2.7051764625680377e-07,2.0839199486266913e-06,-3.762656191184872e-08,1.3718320752820706e-06,3.52903938058433e-08,2.56752271026011e-10,2.768145897784851e-06,1.4930152566625842e-09
9,1950.9,8.552232313308059,1.282976893468188,0.0,0.0,1.103360128382642,0.17961676508554653,7.269255419839877,1.1002701708984015,0.18211805241048495,0.0005013069203177348,4.1050599858841596e-05,4.907583750968753e-07,-2.7506778384538517e-06,3.984829975582064e-05,3.8433796534962994e-07,2.910277435247935e-06,-5.109506405684561e-08,1.934620255672241e-06,4.724805934510295e-08,3.799440723306938e-10,3.4963964598874505e-06,2.093776736046376e-09
10,1951.0,9.44617671918194,1.4146891434389537,0.0,0.0,1.2166326633574984,0.19805648008145338,8.031487575742993,1.2128388072486755,0.20112674368942557,0.0006162437783265003,5.0094871307050305e-05,5.43010875692332e-07,-2.7255012487052336e-07,4.903632171458306e-05,5.066882954166695e-07,2.9090711541403237e-07,1.503770918585666e-07,2.6286092914210923e-06,6.185623986243688e-08,5.428899581054114e-10,4.306928653791406e-06,1.1591731650896852e-09
11,1951.1,10.329655389998647,1.544565215026401,0.0,0.0,1.3283260849227017,0.2162391301036957,8.78509017497225,1.3237603325359915,0.219933076980992,0.0007425143865529983,5.992007628564175e-05,5.948400970372749e-07,6.197118716765728e-07,5.913377236688602e-05,6.675261453315439e-07,-6.518333454773763e-07,2.610150808092337e-07,3.465636169050428e-06,7.951114773127508e-08,7.541271064393207e-10,5.199057325320933e-06,1.0555887849342562e-09
12,1951.2,11.20288514141458,1.6726964350006268,0.0,0.0,1.438518934100536,0.2341775009000871,9.530188706413973,1.4331142659340692,0.23854900175316807,0.0008799999614046765,7.049837194574951e-05,6.462737258720434e-07,5.310376745843432e-07,7.013055517346435e-05,8.662365888858817e-07,-5.574770418825306e-07,3.1998836885537146e-07,4.457065070219945e-06,1.0064297549217297e-07,1.0234326813776486e-09,6.172140428356265e-06,1.493637935059027e-09
13,1951.3,12.066082789079118,1.7991743933850686,0.0,0.0,1.5472899783111553,0.25188441507390885,10.26690839569408,1.5409803045695272,0.2569865442724716,0.001028588921708662,8.180309693466777e-05,6.973398351859496e-07,-2.8424388643440373e-07,8.201710582165337e-05,1.1041392305066055e-06,3.050986469723161e-07,3.442669719475949e-07,5.613807112118883e-06,1.2571441341201387e-07,1.3619235338541564e-09,7.225579632775791e-06,2.3547195859435257e-09
